,disease_type,sample_type,experimental_strategy,tissue_source_site_label,platform,data_submitting_center_label,portion_is_ffpe
4966,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
4967,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
4968,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
4969,Colon Adenocarcinoma,Primary Tumor,WGS,Candler,Illumina HiSeq,Baylor College of Medicine,NO
4970,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,University of Michigan,Illumina HiSeq,University of North Carolina,NO
4971,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
4972,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
4973,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,University of North Carolina,NO
4974,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
4975,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
4976,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
4977,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina GA,University of North Carolina,NO
4978,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,NO
4979,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
4980,Colon Adenocarcinoma,Primary Tumor,WGS,UNC,Illumina HiSeq,Baylor College of Medicine,NO
4981,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
4982,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
4983,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,NO
4984,Colon Adenocarcinoma,Solid Tissue Normal,RNA-Seq,University of Pittsburgh,Illumina HiSeq,University of North Carolina,NO
4985,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,BLN - Baylor,Illumina HiSeq,University of North Carolina,NO
4986,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Harvard,Illumina HiSeq,University of North Carolina,NO
4987,Colon Adenocarcinoma,Blood Derived Normal,WGS,University of Pittsburgh,Illumina HiSeq,Harvard Medical School,NO
4988,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
4989,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
4990,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,MSKCC,Illumina HiSeq,University of North Carolina,NO
4991,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
4992,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
4993,Colon Adenocarcinoma,Blood Derived Normal,WGS,Christiana Healthcare,Illumina HiSeq,Harvard Medical School,NO
4994,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Baylor College of Medicine,NO
4995,Colon Adenocarcinoma,Solid Tissue Normal,RNA-Seq,Indivumed,Illumina HiSeq,University of North Carolina,NO
4996,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Mary Bird Perkins Cancer Center - Our Lady of the Lake,Illumina HiSeq,University of North Carolina,NO
4997,Colon Adenocarcinoma,Solid Tissue Normal,WGS,Indivumed,Illumina HiSeq,Baylor College of Medicine,NO
4998,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Roswell Park,Illumina HiSeq,University of North Carolina,NO
4999,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5000,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5001,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5002,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina HiSeq,University of North Carolina,NO
5003,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Baylor College of Medicine,NO
5004,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina HiSeq,University of North Carolina,NO
5005,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5006,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Roswell Park,Illumina HiSeq,University of North Carolina,NO
5007,Colon Adenocarcinoma,Blood Derived Normal,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5008,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5009,Colon Adenocarcinoma,Solid Tissue Normal,RNA-Seq,Indivumed,Illumina HiSeq,University of North Carolina,NO
5010,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5011,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,University of North Carolina,NO
5012,Colon Adenocarcinoma,Solid Tissue Normal,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5013,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5014,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina HiSeq,University of North Carolina,NO
5015,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5016,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,University of Sao Paulo,Illumina HiSeq,University of North Carolina,NO
5017,Colon Adenocarcinoma,Blood Derived Normal,WGS,Indivumed,Illumina HiSeq,Baylor College of Medicine,NO
5018,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5019,Colon Adenocarcinoma,Blood Derived Normal,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5020,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,NO
5021,Colon Adenocarcinoma,Primary Tumor,WGS,International Genomics Consortium,Illumina HiSeq,Baylor College of Medicine,NO
5022,Colon Adenocarcinoma,Blood Derived Normal,WGS,Christiana Healthcare,Illumina HiSeq,Baylor College of Medicine,NO
5023,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,MSKCC,Illumina HiSeq,University of North Carolina,NO
5024,Colon Adenocarcinoma,Blood Derived Normal,WGS,University of Pittsburgh,Illumina HiSeq,Harvard Medical School,NO
5025,Colon Adenocarcinoma,Solid Tissue Normal,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5026,Colon Adenocarcinoma,Solid Tissue Normal,WGS,Indivumed,Illumina HiSeq,Baylor College of Medicine,NO
5027,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Harvard,Illumina HiSeq,University of North Carolina,NO
5028,Colon Adenocarcinoma,Primary Tumor,WGS,ILSbio,Illumina HiSeq,Harvard Medical School,NO
5029,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Greater Poland Cancer Center,Illumina HiSeq,University of North Carolina,NO
5030,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5031,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5032,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Baylor College of Medicine,NO
5033,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,ILSbio,Illumina GA,University of North Carolina,NO
5034,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5035,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5036,Colon Adenocarcinoma,Blood Derived Normal,WGS,Indivumed,Illumina HiSeq,Baylor College of Medicine,NO
5037,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5038,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5039,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Greater Poland Cancer Center,Illumina HiSeq,University of North Carolina,NO
5040,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,UNC,Illumina HiSeq,University of North Carolina,NO
5041,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,International Genomics Consortium,Illumina HiSeq,University of North Carolina,NO
5042,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Greater Poland Cancer Center,Illumina HiSeq,University of North Carolina,NO
5043,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina GA,University of North Carolina,NO
5044,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5045,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5046,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Baylor College of Medicine,NO
5047,Colon Adenocarcinoma,Solid Tissue Normal,WGS,University of Pittsburgh,Illumina HiSeq,Baylor College of Medicine,NO
5048,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5049,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5050,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5051,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Greater Poland Cancer Center,Illumina HiSeq,University of North Carolina,NO
5052,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5053,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5054,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5055,Colon Adenocarcinoma,Solid Tissue Normal,WGS,Christiana Healthcare,Illumina HiSeq,Harvard Medical School,NO
5056,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5057,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Roswell Park,Illumina HiSeq,University of North Carolina,NO
5058,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,UNC,Illumina GA,University of North Carolina,NO
5059,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Cureline,Illumina HiSeq,University of North Carolina,NO
5060,Colon Adenocarcinoma,Primary Tumor,WGS,MSKCC,Illumina HiSeq,Harvard Medical School,NO
5061,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5062,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,University of North Carolina,NO
5063,Colon Adenocarcinoma,Blood Derived Normal,WGS,Indivumed,Illumina HiSeq,Baylor College of Medicine,NO
5064,Colon Adenocarcinoma,Recurrent Tumor,RNA-Seq,Roswell Park,Illumina HiSeq,University of North Carolina,NO
5065,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina HiSeq,University of North Carolina,NO
5066,Colon Adenocarcinoma,Blood Derived Normal,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5067,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5068,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,University of Michigan,Illumina HiSeq,University of North Carolina,NO
5069,Colon Adenocarcinoma,Blood Derived Normal,WGS,Indivumed,Illumina HiSeq,Baylor College of Medicine,NO
5070,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,MSKCC,Illumina HiSeq,University of North Carolina,NO
5071,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5072,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina HiSeq,University of North Carolina,NO
5073,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,UNC,Illumina HiSeq,University of North Carolina,NO
5074,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5075,Colon Adenocarcinoma,Blood Derived Normal,WGS,Greater Poland Cancer Center,Illumina HiSeq,Baylor College of Medicine,NO
5076,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,University of Michigan,Illumina HiSeq,University of North Carolina,NO
5077,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Greater Poland Cancer Center,Illumina HiSeq,University of North Carolina,NO
5078,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5079,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5080,Colon Adenocarcinoma,Blood Derived Normal,WGS,University of Pittsburgh,Illumina HiSeq,Harvard Medical School,NO
5081,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5082,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Greater Poland Cancer Center,Illumina HiSeq,University of North Carolina,NO
5083,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5084,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Roswell Park,Illumina HiSeq,University of North Carolina,NO
5085,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5086,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5087,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5088,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5089,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5090,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5091,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,International Genomics Consortium,Illumina HiSeq,University of North Carolina,NO
5092,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5093,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,International Genomics Consortium,Illumina HiSeq,University of North Carolina,NO
5094,Colon Adenocarcinoma,Blood Derived Normal,WGS,Christiana Healthcare,Illumina HiSeq,Baylor College of Medicine,NO
5095,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5096,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,University of Michigan,Illumina HiSeq,University of North Carolina,NO
5097,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,NO
5098,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina GA,University of North Carolina,NO
5099,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina HiSeq,University of North Carolina,NO
5100,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina GA,University of North Carolina,NO
5101,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,St Joseph's Medical Center (MD),Illumina HiSeq,University of North Carolina,NO
5102,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5103,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina GA,Harvard Medical School,NO
5104,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5105,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,NO
5106,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5107,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5108,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,YES
5109,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,MSKCC,Illumina GA,University of North Carolina,NO
5110,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,International Genomics Consortium,Illumina HiSeq,University of North Carolina,NO
5111,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5112,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5113,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,University of North Carolina,NO
5114,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,MSKCC,Illumina HiSeq,University of North Carolina,NO
5115,Colon Adenocarcinoma,Solid Tissue Normal,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,NO
5116,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,ILSbio,Illumina HiSeq,University of North Carolina,NO
5117,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina GA,Harvard Medical School,NO
5118,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,MSKCC,Illumina HiSeq,University of North Carolina,NO
5119,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,MSKCC,Illumina GA,University of North Carolina,NO
5120,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5121,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Roswell Park,Illumina HiSeq,University of North Carolina,NO
5122,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Duke University,Illumina HiSeq,University of North Carolina,NO
5123,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina GA,University of North Carolina,NO
5124,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5125,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,NO
5126,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5127,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Harvard,Illumina HiSeq,University of North Carolina,NO
5128,Colon Adenocarcinoma,Primary Tumor,WGS,Christiana Healthcare,Illumina HiSeq,Baylor College of Medicine,NO
5129,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5130,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina GA,University of North Carolina,NO
5131,Colon Adenocarcinoma,Solid Tissue Normal,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5132,Colon Adenocarcinoma,Blood Derived Normal,WGS,Christiana Healthcare,Illumina HiSeq,Baylor College of Medicine,NO
5133,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5134,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5135,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5136,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5137,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5138,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,NO
5139,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Roswell Park,Illumina HiSeq,University of North Carolina,NO
5140,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5141,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5142,Colon Adenocarcinoma,Primary Tumor,WGS,Christiana Healthcare,Illumina HiSeq,Baylor College of Medicine,NO
5143,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5144,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5145,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5146,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5147,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina GA,University of North Carolina,NO
5148,Colon Adenocarcinoma,Blood Derived Normal,WGS,Christiana Healthcare,Illumina HiSeq,Harvard Medical School,NO
5149,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,NO
5150,Colon Adenocarcinoma,Blood Derived Normal,WGS,Indivumed,Illumina HiSeq,Baylor College of Medicine,NO
5151,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5152,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,NO
5153,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5154,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,NO
5155,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5156,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina HiSeq,University of North Carolina,NO
5157,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,MSKCC,Illumina HiSeq,University of North Carolina,NO
5158,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Baylor College of Medicine,NO
5159,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5160,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Greater Poland Cancer Center,Illumina HiSeq,University of North Carolina,NO
5161,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,YES
5162,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina GA,University of North Carolina,NO
5163,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5164,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,NO
5165,Colon Adenocarcinoma,Blood Derived Normal,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5166,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5167,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5168,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina HiSeq,University of North Carolina,NO
5169,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5170,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5171,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Harvard,Illumina HiSeq,University of North Carolina,NO
5172,Colon Adenocarcinoma,Solid Tissue Normal,RNA-Seq,Indivumed,Illumina HiSeq,University of North Carolina,NO
5173,Colon Adenocarcinoma,Blood Derived Normal,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5174,Colon Adenocarcinoma,Blood Derived Normal,WGS,MSKCC,Illumina HiSeq,Harvard Medical School,NO
5175,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,University of Michigan,Illumina HiSeq,University of North Carolina,NO
5176,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,NO
5177,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Baylor College of Medicine,NO
5178,Colon Adenocarcinoma,Blood Derived Normal,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5179,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina GA,University of North Carolina,NO
5180,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Greater Poland Cancer Center,Illumina HiSeq,University of North Carolina,NO
5181,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,MSKCC,Illumina HiSeq,University of North Carolina,NO
5182,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,YES
5183,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina GA,University of North Carolina,NO
5184,Colon Adenocarcinoma,Blood Derived Normal,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5185,Colon Adenocarcinoma,Blood Derived Normal,WGS,Christiana Healthcare,Illumina HiSeq,Harvard Medical School,NO
5186,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,ILSbio,Illumina GA,University of North Carolina,NO
5187,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,UNC,Illumina HiSeq,University of North Carolina,NO
5188,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5189,Colon Adenocarcinoma,Blood Derived Normal,WGS,Indivumed,Illumina HiSeq,Baylor College of Medicine,NO
5190,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Baylor College of Medicine,NO
5191,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,University of Michigan,Illumina HiSeq,University of North Carolina,NO
5192,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5193,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Roswell Park,Illumina HiSeq,University of North Carolina,NO
5194,Colon Adenocarcinoma,Primary Tumor,WGS,Christiana Healthcare,Illumina HiSeq,Harvard Medical School,NO
5195,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Roswell Park,Illumina HiSeq,University of North Carolina,NO
5196,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5197,Colon Adenocarcinoma,Primary Tumor,WGS,Indivumed,Illumina HiSeq,Harvard Medical School,NO
5198,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Roswell Park,Illumina HiSeq,University of North Carolina,NO
5199,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Indivumed,Illumina GA,University of North Carolina,NO
5200,Colon Adenocarcinoma,Primary Tumor,RNA-Seq,Christiana Healthcare,Illumina HiSeq,University of North Carolina,YES
5201,Colon Adenocarcinoma,Blood Derived Normal,WGS,MSKCC,Illumina HiSeq,Harvard Medical School,NO
